station_code,station_lat,station_lon,input_source,query_radius_km,api_version,vs30_mps,vs30_valid,vs30_source,vs30_mesh_code,vs30_jcode,vs30_query_distance_km,arv,status,error,api_url
KGS007,31.8143,130.3032,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,166.8,1,j-shis_meshsearch_avs,4730527432,13,,2.11,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=130.30320000%2C31.81430000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
KGS008,31.7638,130.5659,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,240.4,1,j-shis_meshsearch_avs,4730541532,10,,1.54,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=130.56590000%2C31.76380000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
KGS009,31.7368,130.7613,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,156.3,1,j-shis_meshsearch_avs,4730468024,13,,2.23,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=130.76130000%2C31.73680000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
KGS010,31.7123,130.2735,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,405.6,1,j-shis_meshsearch_avs,4730425124,6,,0.99,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=130.27350000%2C31.71230000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
KGS011,31.5896,130.349,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,207.5,1,j-shis_meshsearch_avs,4730320744,15,,1.75,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=130.34900000%2C31.58960000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
KGS012,31.6057,130.574,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,193.4,1,j-shis_meshsearch_avs,4730342542,20,,1.86,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=130.57400000%2C31.60570000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
KGS013,31.5973,130.9938,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,323.6,1,j-shis_meshsearch_avs,4730371941,10,,1.20,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=130.99380000%2C31.59730000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
KGS014,31.4963,130.6994,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,260.2,1,j-shis_meshsearch_avs,4730159542,16,,1.44,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=130.69940000%2C31.49630000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
KGS015,31.4308,131.0109,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,206.7,1,j-shis_meshsearch_avs,4731101042,5,,1.76,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=131.01090000%2C31.43080000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
KGS016,31.4162,130.3225,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,183.8,1,j-shis_meshsearch_avs,4730029544,14,,1.94,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=130.32250000%2C31.41620000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
KGS017,31.3954,130.8702,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,255.9,1,j-shis_meshsearch_avs,4730067923,5,,1.46,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=130.87020000%2C31.39540000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
KGS018,31.3757,130.5449,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,260.2,1,j-shis_meshsearch_avs,4730045321,16,,1.44,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=130.54490000%2C31.37570000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
KGS019,31.2776,130.3008,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,405.6,1,j-shis_meshsearch_avs,4630723413,6,,0.99,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=130.30080000%2C31.27760000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
KGS020,31.2396,130.4915,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,267.3,1,j-shis_meshsearch_avs,4630638934,5,,1.41,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=130.49150000%2C31.23960000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
KGS021,31.2535,130.6324,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,256.1,1,j-shis_meshsearch_avs,4630750023,5,,1.46,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=130.63240000%2C31.25350000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
KGS022,31.2804,131.0504,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,288.5,1,j-shis_meshsearch_avs,4631703431,11,,1.32,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=131.05040000%2C31.28040000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
KGS023,31.199,130.849,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,408.6,1,j-shis_meshsearch_avs,4630663744,10,,0.98,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=130.84900000%2C31.19900000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
KGS024,31.0888,130.6982,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,405.6,1,j-shis_meshsearch_avs,4630550542,6,,0.99,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=130.69820000%2C31.08880000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
KGS025,30.7319,130.9977,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,280.1,1,j-shis_meshsearch_avs,4630077944,9,,1.35,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=130.99770000%2C30.73190000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
KGS026,30.5199,130.9553,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,291.9,1,j-shis_meshsearch_avs,4530672614,9,,1.31,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=130.95530000%2C30.51990000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
KGS027,30.3488,130.8829,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,322.1,1,j-shis_meshsearch_avs,4530471043,9,,1.20,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=130.88290000%2C30.34880000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
