year,event_id,knet_station,hinet_station,series,seconds_relative_to_theoretical_p,value
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-2.6717634201049805,1.0208959534869523e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-2.631763458251953,-5.0744361798378685e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-2.591763496398926,-5.1580973416072374e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-2.5517635345458984,6.007625076898409e-06
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-2.511763572692871,4.21495016134441e-06
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-2.4717633724212646,2.1546019283117803e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-2.4317634105682373,-3.419749239746009e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-2.39176344871521,-6.651013745271217e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-2.3517634868621826,-7.432979712070125e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-2.3117635250091553,-1.0129325200186366e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-2.271763563156128,-2.289668326588179e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-2.2317636013031006,-9.053150157127493e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-2.191763401031494,-2.9225636256777e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-2.151763439178467,-2.567965625993496e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-2.1117634773254395,-5.402945832188015e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-2.071763515472412,-9.581747434459999e-06
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-2.0317635536193848,-2.1349936252150184e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-1.9917635917663574,2.935994731700276e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-1.951763391494751,4.179087737947624e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-1.9117634296417236,7.23556697914415e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-1.8717634677886963,3.3823831538171176e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-1.831763505935669,-2.1565573304702605e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-1.7917635440826416,-1.619053282504689e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-1.7517635822296143,-1.101073599203293e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-1.7117633819580078,1.406008325521072e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-1.6717634201049805,-6.035756727006893e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-1.6317634582519531,-7.4965519990708e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-1.5917634963989258,-3.770256686426354e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-1.5517635345458984,-3.205805612070582e-05
