year,event_id,path,size_bytes,catalog_event,outer_tar_valid,outer_member_count,has_knet_product,has_kiknet_product,has_image_product,product_class,error
2000,20000827131300,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000827131300.tar,19036160,1,1,3,1,1,1,both,
2000,20000827165400,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000827165400.tar,9195520,1,1,3,1,1,1,both,
2000,20000827201900,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000827201900.tar,2938880,1,1,3,1,1,1,both,
2000,20000828172000,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000828172000.tar,24401920,1,1,3,1,1,1,both,
2000,20000829110000,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000829110000.tar,2283520,1,1,3,1,1,1,both,
2000,20000829111100,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000829111100.tar,471040,1,1,2,1,0,1,knet_only,
2000,20000829111300,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000829111300.tar,460800,1,1,2,1,0,1,knet_only,
2000,20000829120800,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000829120800.tar,1505280,1,1,2,1,0,1,knet_only,
2000,20000829161900,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000829161900.tar,5672960,1,1,3,1,1,1,both,
2000,20000830103700,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000830103700.tar,2140160,1,1,2,1,0,1,knet_only,
2000,20000830142300,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000830142300.tar,5222400,1,1,3,1,1,1,both,
2000,20000901061300,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000901061300.tar,3624960,1,1,3,1,1,1,both,
2000,20000903200100,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000903200100.tar,19507200,1,1,3,1,1,1,both,
2000,20000903213500,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000903213500.tar,5171200,1,1,3,1,1,1,both,
2000,20000907145100,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000907145100.tar,18319360,1,1,3,1,1,1,both,
2000,20000909192400,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000909192400.tar,8212480,1,1,3,1,1,1,both,
2000,20000909204800,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000909204800.tar,16865280,1,1,3,1,1,1,both,
2000,20000910223600,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000910223600.tar,4444160,1,1,3,1,1,1,both,
2000,20000911010500,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000911010500.tar,5345280,1,1,3,1,1,1,both,
2000,20000911074900,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000911074900.tar,9973760,1,1,3,1,1,1,both,
2000,20000911075800,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000911075800.tar,839680,1,1,2,1,0,1,knet_only,
2000,20000911080200,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000911080200.tar,839680,1,1,2,1,0,1,knet_only,
2000,20000913190800,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000913190800.tar,10536960,1,1,3,1,1,1,both,
2000,20000914022300,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000914022300.tar,11130880,1,1,2,0,1,1,kiknet_only,
2000,20000914073400,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000914073400.tar,839680,1,1,2,0,1,1,kiknet_only,
2000,20000915234300,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000915234300.tar,11919360,1,1,3,1,1,1,both,
2000,20000917141800,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000917141800.tar,14469120,1,1,3,1,1,1,both,
